year,borough,category,rent
2011,Barnet,Three Bedroom,1868
2011,Bexley,Three Bedroom,1265
2011,Brent,Three Bedroom,1982
2011,Bromley,Three Bedroom,1530
2011,Camden,Three Bedroom,3219
2011,Croydon,Three Bedroom,1365
2011,Ealing,Three Bedroom,1916
2011,Enfield,Three Bedroom,1657
2011,Greenwich,Three Bedroom,1648
2011,Hackney,Three Bedroom,2360
2011,Hammersmith and Fulham,Three Bedroom,2723
2011,Haringey,Three Bedroom,1948
2011,Harrow,Three Bedroom,1658
2011,Havering,Three Bedroom,1248
2011,Hillingdon,Three Bedroom,1477
2011,Hounslow,Three Bedroom,1769
2011,Islington,Three Bedroom,2589
2011,Kensington and Chelsea,Three Bedroom,5721
2011,Kingston upon Thames,Three Bedroom,1760
2011,Lambeth,Three Bedroom,2157
2011,Lewisham,Three Bedroom,1641
2011,Merton,Three Bedroom,1933
2011,Newham,Three Bedroom,1644
2011,Redbridge,Three Bedroom,1543
2011,Richmond upon Thames,Three Bedroom,2133
2011,Southwark,Three Bedroom,2135
2011,Sutton,Three Bedroom,1513
2011,Tower Hamlets,Three Bedroom,2345
2011,Waltham Forest,Three Bedroom,1622
2011,Wandsworth,Three Bedroom,2316
2011,Westminster,Three Bedroom,4094
2018,City of London,One Bedroom,1958
2018,Barking and Dagenham,One Bedroom,978
2018,Barnet,One Bedroom,1136
2018,Bexley,One Bedroom,796
2018,Brent,One Bedroom,1247
2018,Bromley,One Bedroom,961
2018,Camden,One Bedroom,1573
2018,Croydon,One Bedroom,954
2018,Ealing,One Bedroom,1210
2018,Enfield,One Bedroom,1031
2018,Greenwich,One Bedroom,1156
2018,Hackney,One Bedroom,1476
2018,Hammersmith and Fulham,One Bedroom,1350
2018,Haringey,One Bedroom,1218
2018,Harrow,One Bedroom,1059
2018,Havering,One Bedroom,874
2018,Hillingdon,One Bedroom,1012
2018,Hounslow,One Bedroom,1123
2018,Islington,One Bedroom,1541
2018,Kensington and Chelsea,One Bedroom,1998
2018,Kingston upon Thames,One Bedroom,1102
2018,Lambeth,One Bedroom,1317
2018,Lewisham,One Bedroom,1118
2018,Merton,One Bedroom,1174
2018,Newham,One Bedroom,1153
2018,Redbridge,One Bedroom,972
2018,Richmond upon Thames,One Bedroom,1243
2018,Southwark,One Bedroom,1361
2018,Sutton,One Bedroom,923
2018,Tower Hamlets,One Bedroom,1478
2018,Waltham Forest,One Bedroom,1067
2018,Wandsworth,One Bedroom,1363
2018,Westminster,One Bedroom,2034
2018,City of London,Two Bedroom,2732
2018,Barking and Dagenham,Two Bedroom,1188
2018,Barnet,Two Bedroom,1406
2018,Bexley,Two Bedroom,1041
2018,Brent,Two Bedroom,1527
2018,Bromley,Two Bedroom,1218
2018,Camden,Two Bedroom,2106
2018,Croydon,Two Bedroom,1185
2018,Ealing,Two Bedroom,1486
2018,Enfield,Two Bedroom,1303
2018,Greenwich,Two Bedroom,1414
2018,Hackney,Two Bedroom,1785
2018,Hammersmith and Fulham,Two Bedroom,1764
2018,Haringey,Two Bedroom,1473
2018,Harrow,Two Bedroom,1328
2018,Havering,Two Bedroom,1111
2018,Hillingdon,Two Bedroom,1254
2018,Hounslow,Two Bedroom,1332
2018,Islington,Two Bedroom,1991
2018,Kensington and Chelsea,Two Bedroom,2919
2018,Kingston upon Thames,Two Bedroom,1382
2018,Lambeth,Two Bedroom,1617
2018,Lewisham,Two Bedroom,1393
2018,Merton,Two Bedroom,1481
2018,Newham,Two Bedroom,1414
2018,Redbridge,Two Bedroom,1228
2018,Richmond upon Thames,Two Bedroom,1647
2018,Southwark,Two Bedroom,1674
2018,Sutton,Two Bedroom,1170
2018,Tower Hamlets,Two Bedroom,1869
2018,Waltham Forest,Two Bedroom,1297
2018,Wandsworth,Two Bedroom,1734
2018,Westminster,Two Bedroom,2772
2011,City of London,Three Bedroom,..
2011,Barking and Dagenham,Three Bedroom,1399
2011,Barnet,Three Bedroom,1847
2011,Bexley,Three Bedroom,1256
2011,Brent,Three Bedroom,1917
2011,Bromley,Three Bedroom,1494
2011,Camden,Three Bedroom,2962
2011,Croydon,Three Bedroom,1387
2011,Ealing,Three Bedroom,1839
2011,Enfield,Three Bedroom,1596
2011,Greenwich,Three Bedroom,1680
2011,Hackney,Three Bedroom,2406
2011,Hammersmith and Fulham,Three Bedroom,2450
2011,Haringey,Three Bedroom,1853
2011,Harrow,Three Bedroom,1597
2011,Havering,Three Bedroom,1338
2011,Hillingdon,Three Bedroom,1456
2011,Hounslow,Three Bedroom,1579
2011,Islington,Three Bedroom,2595
2011,Kensington and Chelsea,Three Bedroom,4826
2011,Kingston upon Thames,Three Bedroom,1688
2011,Lambeth,Three Bedroom,2081
2011,Lewisham,Three Bedroom,1660
2011,Merton,Three Bedroom,1909
2011,Newham,Three Bedroom,1676
2011,Redbridge,Three Bedroom,1557
2011,Richmond upon Thames,Three Bedroom,2244
2011,Southwark,Three Bedroom,2026
2011,Sutton,Three Bedroom,1481
2011,Tower Hamlets,Three Bedroom,2279
2011,Waltham Forest,Three Bedroom,1607
2011,Wandsworth,Three Bedroom,2249
2011,Westminster,Three Bedroom,4230
2019,City of London,One Bedroom,2083
2019,Barking and Dagenham,One Bedroom,965
2019,Barnet,One Bedroom,1147
2019,Bexley,One Bedroom,821
2019,Brent,One Bedroom,1241
2019,Bromley,One Bedroom,972
2019,Camden,One Bedroom,1659
2019,Croydon,One Bedroom,931
2019,Ealing,One Bedroom,1216
2019,Enfield,One Bedroom,1083
2019,Greenwich,One Bedroom,1155
2019,Hackney,One Bedroom,1523
2019,Hammersmith and Fulham,One Bedroom,1454
2019,Haringey,One Bedroom,1259
2019,Harrow,One Bedroom,1093
2019,Havering,One Bedroom,889
2019,Hillingdon,One Bedroom,1018
2019,Hounslow,One Bedroom,1153
